source_row_id,order_id,user_id,order_date,channel,status,total,updated_at
30,ORD-000147,CUST-00009,2026-05-23 14:22:42,store,delivered,429.24,2026-05-24 14:12:42
31,ORD-000092,CUST-00010,2026-06-07 05:01:30,app,confirmed,1654.82,2026-06-10 22:34:30
32,ORD-000136,CUST-00053,2026-03-24 02:45:29,store,confirmed,695.62,2026-03-30 22:19:29
33,ORD-000070,CUST-00049,2026-08-08 22:52:40,store,delivered,196.66,2026-08-15 18:02:40
34,ORD-000129,CUST-00003,2026-08-06 02:01:07,app,shipped,7.75,2026-08-15 05:18:07
35,ORD-000115,CUST-00045,2026-07-28 08:53:15,web,delivered,631.23,2026-08-07 05:11:15
36,ORD-000049,CUST-00002,2025-06-29 07:37:54,web,delivered,232.89,2025-07-07 15:12:54
37,ORD-000054,CUST-00057,2026-08-14 19:27:54,app,delivered,375.92,2026-08-17 00:00:00
38,ORD-000029,CUST-00007,2026-08-16 21:28:17,web,delivered,514.18,2026-08-17 00:00:00
39,ORD-000055,CUST-00036,2026-07-02 06:21:00,web,delivered,279.87,2026-07-05 05:05:00
40,ORD-000109,CUST-00030,2026-05-11 07:37:17,app,delivered,309.25,2026-05-15 00:20:17
41,ORD-000113,CUST-00019,2026-06-07 01:24:36,store,delivered,1199.85,2026-06-08 18:13:36
42,ORD-000018,CUST-00043,2026-05-26 05:21:42,store,delivered,1274.86,2026-06-04 09:35:42
43,ORD-000120,CUST-00050,2025-10-30 04:39:54,store,delivered,502.12,2025-11-07 08:26:54
44,ORD-000104,CUST-00008,2026-04-16 08:19:28,store,delivered,367.47,2026-04-23 14:02:28
45,ORD-000059,CUST-00022,2026-04-18 03:14:42,store,delivered,333.69,2026-04-19 12:57:42
46,ORD-000119,CUST-00035,2025-11-05 14:41:53,app,delivered,612.32,2025-11-14 05:36:53
47,ORD-000019,CUST-00049,2026-05-20 23:05:23,store,delivered,346.32,2026-05-27 02:18:23
48,ORD-000005,CUST-00057,2026-07-17 11:21:09,store,delivered,407.1,2026-07-25 08:11:09
49,ORD-000046,CUST-00056,2026-05-21 07:57:23,web,delivered,915.94,2026-05-28 16:21:23
50,ORD-000060,CUST-00003,2026-06-05 10:23:13,store,delivered,975.33,2026-06-06 03:48:13
51,ORD-000040,CUST-00009,2026-07-29 20:05:22,app,pending,370.09,2026-07-29 20:05:22
52,ORD-000037,CUST-00008,2026-06-29 09:35:11,web,delivered,618.02,2026-07-05 18:01:11
53,ORD-000118,CUST-00050,2026-05-06 20:03:12,web,pending,218.92,2026-05-06 20:03:12
54,ORD-000140,CUST-00029,2025-12-25 17:57:13,app,confirmed,1392.25,2026-01-02 04:48:13
55,ORD-000108,CUST-00029,2025-04-10 19:43:26,web,shipped,433.4,2025-04-13 09:19:26
56,ORD-000133,CUST-00026,2026-08-15 19:56:21,app,delivered,151.92,2026-08-17 00:00:00
57,ORD-000127,CUST-00023,2026-02-10 00:28:29,store,delivered,298.85,2026-02-13 07:35:29
58,,CUST-00059,2026-06-22 15:53:28,web,shipped,497.49,2026-07-02 02:35:28
59,ORD-000123,CUST-00033,2026-07-19 16:47:42,web,confirmed,361.95,2026-07-23 08:20:42
60,ORD-000096,CUST-00044,2025-07-11 14:58:45,app,delivered,1013.47,2025-07-13 10:15:45
61,ORD-000012,CUST-00019,2026-08-04 18:46:26,web,delivered,1079.93,2026-08-13 01:04:26
62,ORD-000114,CUST-00010,2026-02-08 00:21:54,app,delivered,1470.56,2026-02-17 11:37:54
63,ORD-000124,CUST-00042,2025-11-23 22:57:39,web,shipped,314.6,2025-11-25 14:26:39
64,ORD-000013,CUST-00051,2026-03-05 02:56:42,app,delivered,1877.21,2026-03-14 03:46:42
65,ORD-000003,CUST-00005,2026-07-25 02:45:03,web,delivered,472.12,2026-08-02 04:49:03
66,ORD-000105,CUST-00012,2026-06-30 18:09:56,web,delivered,992.19,2026-07-09 21:01:56
67,ORD-000007,CUST-00025,2026-01-07 10:33:28,app,delivered,969.88,2026-01-10 22:11:28
68,ORD-000128,CUST-00034,2026-07-05 16:11:48,store,delivered,308.48,2026-07-15 04:54:48
69,ORD-000111,CUST-00012,2026-03-13 09:11:54,web,delivered,855.04,2026-03-22 01:01:54
70,ORD-000066,CUST-00059,2025-11-01 07:11:51,web,shipped,1229.79,2025-11-02 02:38:51
71,ORD-000056,CUST-00000,2025-07-06 02:55:32,app,shipped,452.41,2025-07-08 23:17:32
72,ORD-000145,CUST-00051,2026-07-16 13:01:14,web,delivered,1398.63,2026-07-17 10:20:14
73,ORD-000139,CUST-00044,2026-04-14 14:19:22,web,preparing,1152.43,2026-04-24 00:24:22
74,ORD-000047,CUST-00042,2025-07-02 06:03:34,app,confirmed,325.33,2025-07-08 20:56:34
75,ORD-000063,CUST-00025,2026-04-25 09:06:51,store,delivered,54.06,2026-04-27 14:52:51
76,ORD-000075,CUST-00002,2026-08-13 14:21:57,store,delivered,839.61,2026-08-16 22:23:57
77,ORD-000117,CUST-00033,2026-08-04 19:09:31,store,pending,884.78,2026-08-04 19:09:31
78,ORD-000094,CUST-00023,2025-11-10 23:09:49,web,delivered,1418.79,2025-11-18 18:47:49
79,ORD-000101,CUST-00028,2026-05-19 20:34:30,app,delivered,264.85,2026-05-27 16:10:30
80,ORD-000090,CUST-00054,2025-09-13 01:06:13,web,delivered,920.76,2025-09-22 22:37:13
81,ORD-000011,CUST-00059,2026-03-26 14:39:53,store,delivered,897.27,2026-04-04 10:18:53
82,ORD-000035,CUST-00027,2026-07-03 22:24:37,store,delivered,1187.63,2026-07-12 02:21:37
83,ORD-000033,CUST-00016,2026-06-17 15:34:38,store,shipped,101.72,2026-06-21 03:00:38
84,ORD-000125,CUST-00054,2025-11-01 21:02:39,store,delivered,628.86,2025-11-04 23:05:39
85,ORD-000039,CUST-00020,2025-07-21 03:21:03,store,shipped,386.01,2025-07-25 20:01:03
86,ORD-000084,CUST-00050,2025-10-14 18:56:33,store,delivered,362.75,2025-10-17 07:43:33
87,ORD-000112,CUST-00050,2025-09-26 09:40:03,store,delivered,815.42,2025-09-27 17:25:03
88,ORD-000150,CUST-00011,2026-06-16 10:02:36,Store,delivered,1221.25,2026-06-19 13:43:36
89,ORD-000028,CUST-00045,2025-12-30 12:55:59,app,delivered,185.06,2026-01-02 15:45:59
90,ORD-000024,CUST-00043,2025-04-29 17:33:52,web,confirmed,1252.41,2025-05-05 04:48:52
91,ORD-000068,CUST-00025,2026-08-02 12:19:27,app,delivered,1163.16,2026-08-08 14:04:27
92,ORD-000010,CUST-00013,2026-05-13 21:43:00,webb,pending,936.47,2026-05-13 21:43:00
93,ORD-000131,CUST-00012,2026-08-14 00:39:04,store,delivered,497.49,2026-08-16 09:53:04
94,ORD-000098,CUST-00020,2025-12-21 05:17:35,web,shipped,174.34,2025-12-23 15:12:35
95,ORD-000106,CUST-00029,2026-05-25 01:33:49,store,delivered,577.3,2026-05-25 21:34:49
96,ORD-000146,CUST-00034,2026-06-22 17:36:57,app,confirmed,743.85,2026-06-30 08:38:57
97,ORD-000088,CUST-00055,2026-08-05 19:05:39,store,delivered,227.16,2026-08-09 12:01:39
98,ORD-000149,CUST-00013,2026-07-26 18:12:15,store,delivered,650.1,2026-08-03 12:37:15
99,ORD-000110,CUST-00004,2026-06-04 18:04:00,web,delivered,650.1,2026-06-11 14:30:00
100,ORD-000065,CUST-00019,2026-06-27 17:35:05,app,preparing,1512.26,2026-07-06 12:20:05
101,ORD-000016,CUST-00010,2026-06-06 22:42:10,store,cancelled,212.54,2026-06-12 20:36:10
102,ORD-000083,CUST-00004,2025-09-26 06:39:27,store,confirmed,166.04,2025-09-29 11:11:27
103,ORD-000042,CUST-00010,2026-08-06 04:11:28,store,confirmed,1102.17,2026-08-11 01:03:28
104,ORD-000081,CUST-00051,2025-06-30 00:38:33,app,confirmed,790.23,2025-07-04 16:40:33
105,ORD-000053,CUST-00040,2026-07-30 17:00:46,app,delivered,414.84,2026-07-30 18:41:46
106,,CUST-00013,2026-03-29 09:36:05,store,confirmed,552.44,2026-04-05 07:38:05
107,ORD-000077,CUST-00025,2026-06-17 13:53:04,APP,delivered,1063.35,2026-06-25 20:22:04
108,ORD-000044,CUST-00049,2026-05-13 07:13:51,store,delivered,297.67,2026-05-18 23:48:51
109,ORD-000025,CUST-00022,2025-12-04 22:11:01,app,delivered,1164.99,2025-12-12 19:03:01
110,ORD-000137,CUST-00011,2026-07-05 10:33:11,app,pending,1200.32,2026-07-05 10:33:11
111,ORD-000122,CUST-00049,2026-05-04 01:58:43,app,delivered,859.74,2026-05-09 18:11:43
112,ORD-000144,CUST-00046,2026-08-11 18:08:47,STORE,shipped,300.18,2026-08-12 08:22:47
113,ORD-000050,CUST-00003,2026-05-08 16:01:33,app,delivered,748.84,2026-05-15 23:32:33
114,ORD-000022,CUST-00001,2025-10-20 15:29:36,app,delivered,1208.06,2025-10-28 02:42:36
115,ORD-000071,CUST-00099,2026-07-26 04:35:15,app,confirmed,830.6,2026-08-01 06:19:15
116,ORD-000004,CUST-00024,2025-07-16 03:20:24,app,preparing,23.25,2025-07-22 21:13:24
117,ORD-000143,CUST-00012,2026-07-22 07:19:39,app,delivered,455.57,2026-07-24 12:09:39
118,ORD-000031,CUST-00028,2026-02-26 19:56:23,store,delivered,1303.74,2026-03-02 00:37:23
119,,CUST-00034,2026-05-28 16:56:44,app,shipped,265.09,2026-05-31 21:24:44
120,ORD-000107,CUST-00020,2026-02-08 11:53:40,store,cancelled,196.66,2026-02-18 11:23:40
121,ORD-000048,CUST-00030,2026-07-01 09:36:34,store,shipped,1068.79,2026-07-10 01:50:34
122,ORD-000116,CUST-00050,2026-01-19 06:47:38,WEB,confirmed,128.67,2026-01-27 06:41:38
123,ORD-000014,CUST-00006,2025-12-20 15:34:43,store,delivered,203.48,2025-12-24 17:34:43
124,ORD-000089,CUST-00022,2026-01-31 16:35:28,app,confirmed,973.55,2026-02-08 09:09:28
125,ORD-000009,CUST-00007,2026-08-16 00:28:56,app,shipped,462.72,2026-08-16 16:25:56
126,ORD-000082,UNKNOWN,2025-12-06 00:21:58,web,cancelled,346.85,2025-12-10 09:46:58
127,ORD-000061,CUST-00056,2026-01-03 23:32:37,app,delivered,400.5,2026-01-08 21:55:37
128,,CUST-00033,2026-07-30 19:45:48,app,delivered,425.08,2026-08-09 14:27:48
129,ORD-000002,CUST-00003,2026-04-05 08:06:07,app,delivered,497.44,2026-04-07 11:18:07
130,ORD-000058,CUST-00022,2026-03-14 19:40:30,app,shipped,567.7,2026-03-23 04:46:30
131,ORD-000023,CUST-00043,2026-02-16 17:21:17,store,delivered,1201.71,2026-02-25 02:15:17
132,ORD-000062,CUST-00056,2026-08-07 07:04:55,web,cancelled,1854.52,2026-08-09 19:14:55
133,ORD-000064,CUST-00041,2026-07-31 13:56:09,app,delivered,407.5,2026-08-09 23:13:09
134,ORD-000008,CUST-00018,2026-08-11 01:55:22,web,shipped,1227.79,2026-08-14 12:51:22
135,,CUST-00041,2026-05-15 15:47:31,store,shipped,1142.51,2026-05-17 23:26:31
136,ORD-000097,CUST-00019,2026-08-12 07:13:50,app,shipped,516.48,2026-08-13 13:02:50
137,ORD-000069,CUST-00050,2026-08-07 23:40:48,web,delivered,946.37,2026-08-15 13:11:48
138,ORD-000051,CUST-00027,2026-06-03 18:48:07,app,delivered,754.94,2026-06-08 04:26:07
139,ORD-000102,CUST-00021,2026-05-29 18:57:12,store,delivered,1035.55,2026-06-05 17:05:12
140,ORD-000021,CUST-00027,2026-04-12 03:39:06,Web,shipped,308.48,2026-04-14 21:45:06
141,ORD-000026,CUST-00023,2026-02-03 16:09:20,store,cancelled,135.72,2026-02-07 11:31:20
142,ORD-000135,CUST-00060,2026-05-28 05:11:26,app,delivered,637.62,2026-06-06 20:17:26
143,ORD-000072,CUST-00057,2026-07-13 12:56:04,store,shipped,497.28,2026-07-14 11:25:04
144,ORD-000130,CUST-00023,2026-02-10 05:42:36,store,confirmed,480.38,2026-02-16 16:36:36
145,ORD-000080,CUST-00016,2026-02-06 01:52:34,store,delivered,840.87,2026-02-12 23:07:34
146,ORD-000134,CUST-00022,2025-09-13 15:53:08,web,delivered,1201.18,2025-09-19 08:26:08
147,ORD-000138,CUST-00026,2026-08-11 11:14:42,storee,delivered,600.75,2026-08-12 22:37:42
148,ORD-000073,CUST-00056,2026-04-06 13:07:57,web,confirmed,862.55,2026-04-09 13:07:57
149,ORD-000141,CUST-00018,2026-07-12 05:41:50,web,cancelled,306.82,2026-07-20 07:00:50
150,ORD-000038,CUST-00018,2026-08-04 07:04:52,store,delivered,289.19,2026-08-06 04:21:52
